City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,mitchell,43.7094,-98.0298,28.99,39,0,4.63,US,1684884434
240,college,64.8569,-147.8028,21.44,30,20,2.57,US,1684884434
241,isiolo,0.3546,37.5822,19.88,79,45,3.29,KE,1684884435
242,lima duarte,-21.8425,-43.7931,14.45,95,3,0.83,BR,1684884435
243,al kharijah,25.4514,30.5464,27.54,15,0,3.12,EG,1684884436
244,colonia,50.9333,6.95,10.53,74,0,2.06,DE,1684884437
245,xilin hot,43.9667,116.0333,17.27,25,100,7.22,CN,1684884438
246,aldan,58.6031,125.3894,5.54,65,91,1.32,RU,1684884439
247,la ronge,55.1001,-105.2842,12.14,35,75,7.2,CA,1684884440
248,cascais,38.6979,-9.4215,19.73,77,95,5.81,PT,1684884215
249,carauari,-4.8828,-66.8958,24.59,96,84,1.21,BR,1684884441
250,bodo,67.28,14.405,6.02,93,0,5.14,NO,1684884442
251,kalemie,-5.9475,29.1947,21.98,80,72,0.82,CD,1684884443
252,alquizar,22.8058,-82.5842,25.32,68,90,3.14,CU,1684884443
253,bedele,8.456,36.353,13.76,93,72,0.64,ET,1684884444
254,stawell,-37.05,142.7667,8.37,76,31,3.47,AU,1684884445
255,okhotsk,59.3833,143.3,5.75,61,0,1.46,RU,1684884445
256,acapulco de juarez,16.8634,-99.8901,31.9,58,40,4.63,MX,1684884446
257,sierra grande,-41.606,-65.3557,11.99,30,1,4.12,AR,1684884447
258,port lincoln,-34.7333,135.8667,14.55,67,64,7.27,AU,1684884447
259,kununurra,-15.7667,128.7333,18.99,45,2,2.06,AU,1684884448
260,moose jaw,50.4001,-105.5344,26.15,31,75,11.32,CA,1684884449
261,recani,31.2846,-4.2688,19.95,34,58,6.42,MA,1684884449
262,auxonne,47.1926,5.3873,16.08,77,0,6.17,FR,1684884450
263,lautoka,-17.6167,177.4667,26.92,69,75,3.09,FJ,1684883854
264,westport,41.1415,-73.3579,17.75,64,0,3.6,US,1684884451
265,antofagasta,-23.65,-70.4,16.6,86,26,3.42,CL,1684884452
266,melfort,52.8667,-104.6177,11.07,62,53,8.23,CA,1684884452
267,port saint john's,-31.6229,29.5448,16.29,64,3,2.85,ZA,1684884453
268,namibe,-15.1961,12.1522,20.97,76,36,3.88,AO,1684884455
269,taunggyi,20.7833,97.0333,17.21,84,6,1.3,MM,1684884455
270,belgrade,44.804,20.4651,18.81,78,0,3.09,RS,1684884414
271,dhidhdhoo,6.8833,73.1,28.37,77,11,3.57,MV,1684884456
272,mwene-ditu,-7.0,23.45,22.28,62,51,0.95,CD,1684884457
273,cabo san lucas,22.8909,-109.9124,34.23,22,40,5.14,MX,1684884330
274,nguigmi,14.2495,13.1092,32.33,31,28,1.02,NE,1684884325
275,carnarvon,-24.8667,113.6333,20.36,70,98,3.04,AU,1684884459
276,santa cruz,-17.8,-63.1667,24.03,94,75,5.14,BO,1684884459
277,uturoa,-16.7333,-151.4333,26.6,80,79,5.36,PF,1684884372
278,uttar char fasson,22.2332,90.7132,28.14,86,2,6.32,BD,1684884460
279,sao joao da barra,-21.6403,-41.0511,21.05,85,84,4.74,BR,1684884234
280,bathurst,-33.4166,149.5806,10.46,51,97,0.27,AU,1684884461
281,vorkuta,67.5,64.0,6.84,71,76,2.53,RU,1684884462
282,afonso bezerra,-5.4983,-36.5056,25.94,77,37,5.61,BR,1684884463
283,przeworsk,50.0591,22.4941,16.02,91,99,1.23,PL,1684884463
284,serdar,38.9764,56.2757,29.45,25,0,2.87,TM,1684884464
285,san patricio,28.017,-97.5169,31.76,59,21,6.35,US,1684884043
286,trincomalee,8.5711,81.2335,26.87,82,3,5.16,LK,1684884466
287,minas de marcona,-15.2119,-75.1103,15.11,83,40,6.27,PE,1684884466
288,barah,13.7,30.3667,27.95,12,0,1.03,SD,1684884467
289,horsham,51.064,-0.3272,11.84,69,0,1.03,GB,1684884467
290,merrill,45.1805,-89.6835,26.87,29,0,2.57,US,1684884290
291,villa de soto,-30.8552,-64.9995,22.44,84,91,4.58,AR,1684884468
292,soio,-6.1349,12.3689,25.07,88,4,2.97,AO,1684884469
293,traralgon,-38.1833,146.5333,10.15,72,16,0.57,AU,1684884191
294,kapa'a,22.0752,-159.319,27.99,75,75,5.66,US,1684884471
295,beau vallon,-20.4189,57.6953,22.13,94,40,1.54,MU,1684884472
296,dickinson,29.4608,-95.0513,31.15,65,20,4.12,US,1684884472
297,erdenet,49.0333,104.0833,6.64,64,94,2.5,MN,1684884140
298,labuan bajo,-8.4964,119.8877,24.18,84,88,1.71,ID,1684884473
299,trignac,47.3167,-2.1833,15.15,79,0,5.66,FR,1684884474
300,porto novo,6.4965,2.6036,27.9,86,89,2.42,BJ,1684884474
301,afaahiti,-17.75,-149.2833,27.93,83,68,5.99,PF,1684884475
302,yuzhno-kurilsk,44.0306,145.8556,5.61,79,100,3.61,RU,1684884476
303,kismayo,-0.3582,42.5454,26.71,78,4,5.55,SO,1684884477
304,itoman,26.1247,127.6694,23.43,64,20,4.63,JP,1684884478
305,nar'yan-mar,67.6713,53.087,13.58,68,79,3.9,RU,1684884478
306,morehead city,34.7229,-76.726,22.02,80,100,7.2,US,1684884479
307,saint george's,12.0564,-61.7485,27.82,83,20,4.63,GD,1684884246
308,puerto leguizamo,-0.1934,-74.7819,23.95,96,96,0.16,CO,1684884480
309,kapuskasing,49.4169,-82.4331,7.05,93,100,5.14,CA,1684884480
310,tura,25.5198,90.2201,20.75,96,97,1.66,IN,1684884481
311,badr hunayn,23.7829,38.7905,28.51,26,54,0.51,SA,1684884482
312,sandnessjoen,66.0217,12.6316,7.03,72,6,0.89,NO,1684884482
313,san luis de la loma,17.2706,-100.8939,30.6,60,72,3.5,MX,1684884483
314,smithers,54.7804,-127.1743,22.18,33,20,4.12,CA,1684884484
315,kolonia,50.9333,6.95,10.53,74,0,2.06,DE,1684884211
316,nokha,27.6,73.4167,30.71,52,34,7.59,IN,1684884485
317,hamilton,39.1834,-84.5333,27.1,50,0,5.66,US,1684883884
318,berezovyy,51.6667,135.7,14.87,70,99,1.43,RU,1684884486
319,east london,-33.0153,27.9116,16.08,55,15,2.38,ZA,1684884487
320,misantla,19.9333,-96.8333,27.39,70,70,3.16,MX,1684884468
321,olyokminsk,60.3736,120.4264,9.27,49,95,1.36,RU,1684884489
322,amga,60.8953,131.9608,7.41,46,99,1.22,RU,1684884489
323,ladner,49.0894,-123.0824,16.74,71,100,3.09,CA,1684884490
324,coracora,-15.0333,-73.7833,9.89,55,20,1.27,PE,1684884491
325,hirara,24.8,125.2833,24.92,73,40,3.09,JP,1684884367
326,alesund,62.4723,6.1549,11.51,63,75,6.17,NO,1684884492
327,envira,-7.3,-70.2167,24.06,96,100,0.4,BR,1684884493
328,puerto aysen,-45.4,-72.7,4.19,99,96,1.47,CL,1684884385
329,bafoulabe,13.8065,-10.8321,36.55,15,93,4.85,ML,1684884494
330,qamdo,31.1667,97.2333,0.72,39,17,0.88,CN,1684884494
331,codrington,-38.2667,141.9667,11.51,74,79,6.7,AU,1684884495
332,kharagpur,22.3333,87.3333,28.11,84,4,3.8,IN,1684884495
333,haiku-pauwela,20.9219,-156.3051,29.01,48,20,10.8,US,1684884496
334,chandla,25.0833,80.2,33.79,23,72,3.16,IN,1684884498
335,le puy-en-velay,45.0437,3.8852,12.16,98,45,2.32,FR,1684884499
336,luena,-11.7833,19.9167,15.23,50,9,1.71,AO,1684884500
337,bhinmal,25.0,72.25,28.1,72,100,6.35,IN,1684884501
338,badger,64.8,-147.5333,21.4,30,20,2.57,US,1684884501
339,lorengau,-2.0226,147.2712,26.84,83,100,3.02,PG,1684884502
340,tiflet,33.8947,-6.3065,16.33,88,44,3.23,MA,1684884502
341,mbuji-mayi,-6.15,23.6,26.75,49,53,1.0,CD,1684884503
342,port elizabeth,-33.918,25.5701,9.16,81,0,2.06,ZA,1684884504
343,pytalovo,57.0679,27.9138,10.84,78,25,1.44,RU,1684884504
344,crane,31.3974,-102.3501,34.2,13,0,0.18,US,1684884505
345,guichon,-32.35,-57.2,22.59,75,100,4.92,UY,1684884505
346,capao da canoa,-29.7456,-50.0097,19.7,82,5,2.85,BR,1684884506
347,leh,34.1667,77.5833,7.0,72,72,1.24,IN,1684884507
348,taroa,8.7058,171.2275,27.86,78,100,6.95,MH,1684884507
349,fort mcmurray,56.7268,-111.381,9.77,71,100,7.72,CA,1684884468
350,camocim,-2.9022,-40.8411,25.78,86,51,4.65,BR,1684884509
351,sao jose da coroa grande,-8.8978,-35.1478,25.52,86,19,4.96,BR,1684884509
352,rosarito,32.3333,-117.0333,17.36,68,41,3.77,MX,1684884510
353,fort stockton,30.894,-102.8793,33.03,15,0,8.23,US,1684884510
354,ust-nera,64.5667,143.2,2.34,96,100,3.17,RU,1684884511
355,nizhnyaya poyma,56.1622,97.1933,4.68,82,94,5.78,RU,1684884512
356,siilinjarvi,63.0833,27.6667,10.72,90,0,2.57,FI,1684884512
357,yaguara,2.6636,-75.5175,27.25,81,79,0.87,CO,1684884513
358,williamsport,41.2412,-77.0011,23.23,53,0,4.63,US,1684884514
359,ceeldheer,3.8488,47.1806,26.75,83,86,5.44,SO,1684884514
360,lospalos,-8.5186,127.0025,23.0,89,82,3.85,TL,1684884515
361,taza,34.25,-3.75,16.04,66,29,4.67,MA,1684884515
362,buka,40.8108,69.1986,18.65,54,3,1.47,UZ,1684884516
363,swan hill,-35.3378,143.5544,11.39,61,12,2.72,AU,1684884516
